"species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"Alchemilla alpina","Alchemilla","Rosaceae",NA,NA,NA,"present in megatree"
"Alchemilla arvensis","Alchemilla","Rosaceae",NA,NA,NA,"insertion based on genus"
"Alchemilla australis","Alchemilla","Rosaceae",NA,NA,NA,"insertion based on genus"
"Alchemilla glabra","Alchemilla","Rosaceae",NA,NA,NA,"present in megatree"
"Alchemilla mollis","Alchemilla","Rosaceae",NA,NA,NA,"present in megatree"
"Alchemilla xanthochlora","Alchemilla","Rosaceae",NA,NA,NA,"present in megatree"
"Alisma gramineum","Alisma","Alismataceae",NA,NA,NA,"present in megatree"
"Alisma lanceolatum","Alisma","Alismataceae",NA,NA,NA,"present in megatree"
"Alisma plantago-aquatica","Alisma","Alismataceae",NA,NA,NA,"present in megatree"
"Alliaria petiolata","Alliaria","Brassicaceae",NA,NA,NA,"present in megatree"
"Allium angulosum","Allium","Amaryllidaceae",NA,NA,NA,"present in megatree"
"Allium flavum","Allium","Amaryllidaceae",NA,NA,NA,"insertion based on genus"
"Allium pallens","Allium","Amaryllidaceae",NA,NA,NA,"insertion based on genus"
"Allium rubrovittatum","Allium","Amaryllidaceae",NA,NA,NA,"insertion based on genus"
"Allium schoenoprasum","Allium","Amaryllidaceae",NA,NA,NA,"insertion based on genus"
"Allium scorodoprasum","Allium","Amaryllidaceae",NA,NA,NA,"insertion based on genus"
"Allium sphaerocephalon","Allium","Amaryllidaceae",NA,NA,NA,"present in megatree"
"Allium subhirsutum","Allium","Amaryllidaceae",NA,NA,NA,"present in megatree"
"Allium ursinum","Allium","Amaryllidaceae",NA,NA,NA,"insertion based on genus"
"Alnus glutinosa","Alnus","Betulaceae",NA,NA,NA,"present in megatree"
"Alopecurus aequalis","Alopecurus","Poaceae",NA,NA,NA,"present in megatree"
"Alopecurus bulbosus","Alopecurus","Poaceae",NA,NA,NA,"present in megatree"
"Alopecurus geniculatus","Alopecurus","Poaceae",NA,NA,NA,"present in megatree"
"Alopecurus myosuroides","Alopecurus","Poaceae",NA,NA,NA,"present in megatree"
"Alopecurus pratensis","Alopecurus","Poaceae",NA,NA,NA,"present in megatree"
"Alopecurus vaginatus","Alopecurus","Poaceae",NA,NA,NA,"present in megatree"
"Alpagrostis setacea","Alpagrostis","Poaceae",NA,NA,NA,"insertion based on family"
"Althaea officinalis","Althaea","Malvaceae",NA,NA,NA,"present in megatree"
"Alyssoides utriculata","Alyssoides","Brassicaceae",NA,NA,NA,"present in megatree"
"Alyssum alyssoides","Alyssum","Brassicaceae",NA,NA,NA,"present in megatree"
"Amaranthus blitum","Amaranthus","Amaranthaceae",NA,NA,NA,"present in megatree"
"Amaranthus graecizans","Amaranthus","Amaranthaceae",NA,NA,NA,"present in megatree"
"Anacamptis morio","Anacamptis","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Anacamptis pyramidalis","Anacamptis","Orchidaceae",NA,NA,NA,"present in megatree"
"Anacyclus clavatus","Anacyclus","Asteraceae",NA,NA,NA,"present in megatree"
"Anagyris foetida","Anagyris","Fabaceae",NA,NA,NA,"present in megatree"
"Anarrhinum bellidifolium","Anarrhinum","Plantaginaceae",NA,NA,NA,"insertion based on family"
"Anarrhinum laxiflorum","Anarrhinum","Plantaginaceae",NA,NA,NA,"insertion based on family"
"Anchusa arvensis","Anchusa","Boraginaceae",NA,NA,NA,"insertion based on genus"
"Anchusa officinalis","Anchusa","Boraginaceae",NA,NA,NA,"present in megatree"
"Andromeda polifolia","Andromeda","Ericaceae",NA,NA,NA,"present in megatree"
"Androsace chamaejasme","Androsace","Primulaceae",NA,NA,NA,"insertion based on genus"
"Androsace villosa","Androsace","Primulaceae",NA,NA,NA,"present in megatree"
"Anemonastrum narcissiflorum","Anemonastrum","Ranunculaceae",NA,NA,NA,"present in megatree"
"Anemonoides nemorosa","Anemonoides","Ranunculaceae",NA,NA,NA,"insertion based on family"
"Angelica archangelica","Angelica","Apiaceae",NA,NA,NA,"present in megatree"
"Angelica sylvestris","Angelica","Apiaceae",NA,NA,NA,"present in megatree"
"Antennaria dioica","Antennaria","Asteraceae",NA,NA,NA,"present in megatree"
"Anthemis arvensis","Anthemis","Asteraceae",NA,NA,NA,"present in megatree"
"Anthemis cotula","Anthemis","Asteraceae",NA,NA,NA,"present in megatree"
"Anthemis cretica","Anthemis","Asteraceae",NA,NA,NA,"insertion based on genus"
"Anthemis maritima","Anthemis","Asteraceae",NA,NA,NA,"insertion based on genus"
"Anthemis rigida","Anthemis","Asteraceae",NA,NA,NA,"insertion based on genus"
"Anthoxanthum odoratum","Anthoxanthum","Poaceae",NA,NA,NA,"present in megatree"
"Anthriscus caucalis","Anthriscus","Apiaceae",NA,NA,NA,"insertion based on genus"
"Anthriscus sylvestris","Anthriscus","Apiaceae",NA,NA,NA,"present in megatree"
"Anthyllis barba-jovis","Anthyllis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Anthyllis circinnata","Anthyllis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Anthyllis cytisoides","Anthyllis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Anthyllis hermanniae","Anthyllis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Anthyllis lotoides","Anthyllis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Anthyllis vulneraria","Anthyllis","Fabaceae",NA,NA,NA,"present in megatree"
"Apera spica-venti","Apera","Poaceae",NA,NA,NA,"present in megatree"
"Aquilegia alpina","Aquilegia","Ranunculaceae",NA,NA,NA,"present in megatree"
"Aquilegia atrata","Aquilegia","Ranunculaceae",NA,NA,NA,"present in megatree"
"Aquilegia bertolonii","Aquilegia","Ranunculaceae",NA,NA,NA,"present in megatree"
"Aquilegia einseleana","Aquilegia","Ranunculaceae",NA,NA,NA,"present in megatree"
"Aquilegia vulgaris","Aquilegia","Ranunculaceae",NA,NA,NA,"present in megatree"
"Arabidopsis lyrata","Arabidopsis","Brassicaceae",NA,NA,NA,"present in megatree"
"Arabidopsis thaliana","Arabidopsis","Brassicaceae",NA,NA,NA,"present in megatree"
"Arabis alpina","Arabis","Brassicaceae",NA,NA,NA,"present in megatree"
"Arabis hirsuta","Arabis","Brassicaceae",NA,NA,NA,"present in megatree"
"Arabis pumila","Arabis","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Arabis scabra","Arabis","Brassicaceae",NA,NA,NA,"present in megatree"
"Arbutus andrachne","Arbutus","Ericaceae",NA,NA,NA,"present in megatree"
"Arbutus unedo","Arbutus","Ericaceae",NA,NA,NA,"present in megatree"
"Arctium lappa","Arctium","Asteraceae",NA,NA,NA,"present in megatree"
"Arctium minus","Arctium","Asteraceae",NA,NA,NA,"present in megatree"
"Arctium nemorosum","Arctium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Arenaria biflora","Arenaria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Arenaria grandiflora","Arenaria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Arenaria purpurascens","Arenaria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Arenaria serpyllifolia","Arenaria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Argyrolobium zanonii","Argyrolobium","Fabaceae",NA,NA,NA,"insertion based on genus"
"Armeria alliacea","Armeria","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Armeria alpina","Armeria","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Armeria caespitosa","Armeria","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Armeria canescens","Armeria","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Armeria cantabrica","Armeria","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Armeria maritima","Armeria","Plumbaginaceae",NA,NA,NA,"present in megatree"
"Arnica montana","Arnica","Asteraceae",NA,NA,NA,"present in megatree"
"Arrhenatherum elatius","Arrhenatherum","Poaceae",NA,NA,NA,"present in megatree"
"Artemisia absinthium","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia annua","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia arborescens","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia campestris","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia genipi","Artemisia","Asteraceae",NA,NA,NA,"insertion based on genus"
"Artemisia glacialis","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia herba-alba","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia maritima","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Artemisia umbelliformis","Artemisia","Asteraceae",NA,NA,NA,"insertion based on genus"
"Artemisia vulgaris","Artemisia","Asteraceae",NA,NA,NA,"present in megatree"
"Asparagus acutifolius","Asparagus","Asparagaceae",NA,NA,NA,"present in megatree"
"Asparagus albus","Asparagus","Asparagaceae",NA,NA,NA,"present in megatree"
"Asparagus aphyllus","Asparagus","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Asparagus officinalis","Asparagus","Asparagaceae",NA,NA,NA,"present in megatree"
"Asperula arvensis","Asperula","Rubiaceae",NA,NA,NA,"present in megatree"
"Asphodeline lutea","Asphodeline","Asphodelaceae",NA,NA,NA,"present in megatree"
"Asphodelus fistulosus","Asphodelus","Asphodelaceae",NA,NA,NA,"insertion based on genus"
"Aster alpinus","Aster","Asteraceae",NA,NA,NA,"present in megatree"
"Aster amellus","Aster","Asteraceae",NA,NA,NA,"present in megatree"
"Aster bellidiastrum","Aster","Asteraceae",NA,NA,NA,"insertion based on genus"
"Astragalus cicer","Astragalus","Fabaceae",NA,NA,NA,"present in megatree"
"Astragalus glycyphyllos","Astragalus","Fabaceae",NA,NA,NA,"present in megatree"
"Astragalus hamosus","Astragalus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Astragalus monspessulanus","Astragalus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Astragalus sirinicus","Astragalus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Astragalus spruneri","Astragalus","Fabaceae",NA,NA,NA,"present in megatree"
"Astragalus vesicarius","Astragalus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Astrodaucus littoralis","Astrodaucus","Apiaceae",NA,NA,NA,"present in megatree"
"Atocion armeria","Atocion","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Atocion rupestre","Atocion","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Atractylis cancellata","Atractylis","Asteraceae",NA,NA,NA,"present in megatree"
"Atriplex glabriuscula","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex halimus","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex laciniata","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex littoralis","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex nudicaulis","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Atriplex patula","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex pedunculata","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex portulacoides","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex prostrata","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atriplex sagittata","Atriplex","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Atropa bella-donna","Atropa","Solanaceae",NA,NA,NA,"insertion based on genus"
"Aurinia saxatilis","Aurinia","Brassicaceae",NA,NA,NA,"present in megatree"
"Avena barbata","Avena","Poaceae",NA,NA,NA,"present in megatree"
"Avena fatua","Avena","Poaceae",NA,NA,NA,"present in megatree"
"Avena sterilis","Avena","Poaceae",NA,NA,NA,"present in megatree"
"Avenella flexuosa","Avenella","Poaceae",NA,NA,NA,"present in megatree"
"Avenula pubescens","Avenula","Poaceae",NA,NA,NA,"present in megatree"
"Baldellia ranunculoides","Baldellia","Alismataceae",NA,NA,NA,"present in megatree"
"Ballota nigra","Ballota","Lamiaceae",NA,NA,NA,"present in megatree"
"Barbarea vulgaris","Barbarea","Brassicaceae",NA,NA,NA,"present in megatree"
"Bartsia alpina","Bartsia","Orobanchaceae",NA,NA,NA,"present in megatree"
"Bassia scoparia","Bassia","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Beckmannia eruciformis","Beckmannia","Poaceae",NA,NA,NA,"present in megatree"
"Bellardia trixago","Bellardia","Orobanchaceae",NA,NA,NA,"present in megatree"
"Bellevalia brevipedicellata","Bellevalia","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Bellis annua","Bellis","Asteraceae",NA,NA,NA,"present in megatree"
"Bellis perennis","Bellis","Asteraceae",NA,NA,NA,"present in megatree"
"Berberis aquifolium","Berberis","Berberidaceae",NA,NA,NA,"insertion based on genus"
"Berteroa incana","Berteroa","Brassicaceae",NA,NA,NA,"present in megatree"
"Berula erecta","Berula","Apiaceae",NA,NA,NA,"present in megatree"
"Beta vulgaris","Beta","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Betonica alopecuros","Betonica","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Betonica officinalis","Betonica","Lamiaceae",NA,NA,NA,"present in megatree"
"Betula nana","Betula","Betulaceae",NA,NA,NA,"present in megatree"
"Betula pendula","Betula","Betulaceae",NA,NA,NA,"insertion based on genus"
"Betula pubescens","Betula","Betulaceae",NA,NA,NA,"present in megatree"
"Bidens cernua","Bidens","Asteraceae",NA,NA,NA,"present in megatree"
"Bidens frondosa","Bidens","Asteraceae",NA,NA,NA,"present in megatree"
"Bidens tripartita","Bidens","Asteraceae",NA,NA,NA,"present in megatree"
"Biscutella laevigata","Biscutella","Brassicaceae",NA,NA,NA,"present in megatree"
"Bistorta officinalis","Bistorta","Polygonaceae",NA,NA,NA,"present in megatree"
"Bistorta vivipara","Bistorta","Polygonaceae",NA,NA,NA,"present in megatree"
"Bituminaria bituminosa","Bituminaria","Fabaceae",NA,NA,NA,"present in megatree"
"Blackstonia perfoliata","Blackstonia","Gentianaceae",NA,NA,NA,"present in megatree"
"Blitum bonus-henricus","Blitum","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Blitum virgatum","Blitum","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Blysmus rufus","Blysmus","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Bolboschoenus maritimus","Bolboschoenus","Cyperaceae",NA,NA,NA,"present in megatree"
"Bombycilaena discolor","Bombycilaena","Asteraceae",NA,NA,NA,"present in megatree"
"Brachypodium distachyon","Brachypodium","Poaceae",NA,NA,NA,"present in megatree"
"Brachypodium phoenicoides","Brachypodium","Poaceae",NA,NA,NA,"present in megatree"
"Brachypodium pinnatum","Brachypodium","Poaceae",NA,NA,NA,"present in megatree"
"Brachypodium sylvaticum","Brachypodium","Poaceae",NA,NA,NA,"present in megatree"
"Brassica cretica","Brassica","Brassicaceae",NA,NA,NA,"present in megatree"
"Brassica montana","Brassica","Brassicaceae",NA,NA,NA,"present in megatree"
"Brassica repanda","Brassica","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Briza maxima","Briza","Poaceae",NA,NA,NA,"present in megatree"
"Briza media","Briza","Poaceae",NA,NA,NA,"present in megatree"
"Briza minor","Briza","Poaceae",NA,NA,NA,"present in megatree"
"Bromus alopecuros","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus arvensis","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus commutatus","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus diandrus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus erectus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus fasciculatus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus hordeaceus","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus intermedius","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus japonicus","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus lanceolatus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus madritensis","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus pannonicus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus racemosus","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus ramosus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus rigidus","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus rubens","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus scoparius","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus secalinus","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus squarrosus","Bromus","Poaceae",NA,NA,NA,"present in megatree"
"Bromus sterilis","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bromus tectorum","Bromus","Poaceae",NA,NA,NA,"insertion based on genus"
"Bryonia cretica","Bryonia","Cucurbitaceae",NA,NA,NA,"present in megatree"
"Bufonia paniculata","Bufonia","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Buglossoides arvensis","Buglossoides","Boraginaceae",NA,NA,NA,"present in megatree"
"Bunias orientalis","Bunias","Brassicaceae",NA,NA,NA,"present in megatree"
"Bunium bulbocastanum","Bunium","Apiaceae",NA,NA,NA,"present in megatree"
"Buphthalmum salicifolium","Buphthalmum","Asteraceae",NA,NA,NA,"present in megatree"
"Bupleurum affine","Bupleurum","Apiaceae",NA,NA,NA,"insertion based on genus"
"Bupleurum baldense","Bupleurum","Apiaceae",NA,NA,NA,"present in megatree"
"Bupleurum falcatum","Bupleurum","Apiaceae",NA,NA,NA,"present in megatree"
"Bupleurum fruticosum","Bupleurum","Apiaceae",NA,NA,NA,"present in megatree"
"Bupleurum rotundifolium","Bupleurum","Apiaceae",NA,NA,NA,"present in megatree"
"Bupleurum tenuissimum","Bupleurum","Apiaceae",NA,NA,NA,"present in megatree"
"Butomus umbellatus","Butomus","Butomaceae",NA,NA,NA,"present in megatree"
"Cakile maritima","Cakile","Brassicaceae",NA,NA,NA,"present in megatree"
"Calamagrostis arenaria","Calamagrostis","Poaceae",NA,NA,NA,"present in megatree"
"Calamagrostis canescens","Calamagrostis","Poaceae",NA,NA,NA,"present in megatree"
"Calamagrostis purpurea","Calamagrostis","Poaceae",NA,NA,NA,"insertion based on genus"
"Calendula arvensis","Calendula","Asteraceae",NA,NA,NA,"present in megatree"
"Calendula suffruticosa","Calendula","Asteraceae",NA,NA,NA,"present in megatree"
"Calicotome villosa","Calicotome","Fabaceae",NA,NA,NA,"present in megatree"
"Calla palustris","Calla","Araceae",NA,NA,NA,"present in megatree"
"Callitriche palustris","Callitriche","Plantaginaceae",NA,NA,NA,"insertion based on family"
"Callitriche stagnalis","Callitriche","Plantaginaceae",NA,NA,NA,"insertion based on family"
"Callitriche truncata","Callitriche","Plantaginaceae",NA,NA,NA,"insertion based on family"
"Calluna vulgaris","Calluna","Ericaceae",NA,NA,NA,"present in megatree"
"Caltha palustris","Caltha","Ranunculaceae",NA,NA,NA,"present in megatree"
"Calystegia sepium","Calystegia","Convolvulaceae",NA,NA,NA,"present in megatree"
"Calystegia soldanella","Calystegia","Convolvulaceae",NA,NA,NA,"present in megatree"
"Camelina sativa","Camelina","Brassicaceae",NA,NA,NA,"present in megatree"
"Campanula alpina","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula barbata","Campanula","Campanulaceae",NA,NA,NA,"insertion based on genus"
"Campanula cochleariifolia","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula collina","Campanula","Campanulaceae",NA,NA,NA,"insertion based on genus"
"Campanula glomerata","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula latifolia","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula patula","Campanula","Campanulaceae",NA,NA,NA,"insertion based on genus"
"Campanula pyramidalis","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula rapunculoides","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula rapunculus","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula rotundifolia","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula sarmatica","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula scheuchzeri","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula spatulata","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula thyrsoides","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula trachelium","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula trichocalycina","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Campanula tubulosa","Campanula","Campanulaceae",NA,NA,NA,"insertion based on genus"
"Campanula versicolor","Campanula","Campanulaceae",NA,NA,NA,"present in megatree"
"Camphorosma annua","Camphorosma","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Capparis spinosa","Capparis","Capparaceae",NA,NA,NA,"present in megatree"
"Capsella bursa-pastoris","Capsella","Brassicaceae",NA,NA,NA,"present in megatree"
"Cardamine amara","Cardamine","Brassicaceae",NA,NA,NA,"present in megatree"
"Cardamine flexuosa","Cardamine","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Cardamine hirsuta","Cardamine","Brassicaceae",NA,NA,NA,"present in megatree"
"Cardamine impatiens","Cardamine","Brassicaceae",NA,NA,NA,"present in megatree"
"Cardamine pratensis","Cardamine","Brassicaceae",NA,NA,NA,"present in megatree"
"Carduus acanthoides","Carduus","Asteraceae",NA,NA,NA,"present in megatree"
"Carduus crispus","Carduus","Asteraceae",NA,NA,NA,"present in megatree"
"Carduus defloratus","Carduus","Asteraceae",NA,NA,NA,"present in megatree"
"Carduus nutans","Carduus","Asteraceae",NA,NA,NA,"present in megatree"
"Carduus tenuiflorus","Carduus","Asteraceae",NA,NA,NA,"present in megatree"
"Carex aquatilis","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex arenaria","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex atrata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex bicolor","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex binervis","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex bohemica","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex buxbaumii","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex canescens","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex capillaris","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex caryophyllea","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex curvula","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex demissa","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex depauperata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex distans","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex disticha","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex divisa","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex divulsa","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex echinata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex elata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
