genus,species,Temperature,Moisture,Frequency,Severity,Group,mass,NOTE
Alcea,Alcea rosea,5.79046059,3.610689901,1.89005,0.73636,Low stress - High disturbance,9.48, 
Alcea,Alcea biennis,5.66780609,3.394982559,1.79835,0.685,Low stress - High disturbance,7.84, 
Alchemilla,Alchemilla alpina,1.297003156,4.315313283,1.2872,0.28451,High stress - Low disturbance,0.378290909, 
Alisma,Alisma lanceolatum,5.072930967,8.02554813,1.75262,0.33658,High stress - High disturbance,0.404344444, 
Alisma,Alisma plantago-aquatica,4.324992947,8.135715607,1.72473,0.31082,High stress - High disturbance,0.408154545, 
Alliaria,Alliaria petiolata,4.433595517,4.606693678,1.33661,0.25214,Low stress - Low disturbance,2.79275, 
Allium,Allium subhirsutum,7.285192709,3.186584065,1.35611,0.27775,High stress - Low disturbance,1.455, 
Allium,Allium sphaerocephalon,5.769345901,2.583892055,1.72375,0.42364,High stress - High disturbance,1.46896875, 
Allium,Allium angulosum,4.546971318,6.221206454,2.01977,0.53452,High stress - High disturbance,1.676, 
Alnus,Alnus glutinosa,4.233473665,7.171384534,1.36567,0.28979,High stress - Low disturbance,1.388400256, 
Alopecurus,Alopecurus geniculatus,4.284409025,6.912219622,2.22766,0.47856,High stress - High disturbance,0.2836125, 
Alopecurus,Alopecurus vaginatus,4.715092814,2.92413057,1.93991,0.46452,High stress - High disturbance,0.332666667, 
Alopecurus,Alopecurus pratensis,3.972272688,5.2783275,1.89198,0.50852,Low stress - High disturbance,0.76067228, 
Alopecurus,Alopecurus myosuroides,5.064160149,4.4631528,1.94638,0.77595,Low stress - High disturbance,1.667894946, 
Alopecurus,Alopecurus bulbosus,5.054956814,6.221286871,2.28671,0.51199,High stress - High disturbance,0.459466667, 
Alopecurus,Alopecurus aequalis,3.658237512,7.409895361,1.78688,0.55703,High stress - High disturbance,0.223204067, 
Althaea,Althaea officinalis,5.513615292,5.602653755,1.62671,0.46134,Low stress - High disturbance,4.016636364, 
Alyssoides,Alyssoides utriculata,3.725444476,3.039631443,1.55835,0.30189,Low stress - Low disturbance,6.2228, 
Alyssum,Alyssum alyssoides,4.733940236,2.679634266,1.87463,0.51889,High stress - High disturbance,0.6961, 
Amaranthus,Amaranthus blitum,5.769502292,3.960973148,1.85282,0.81224,Low stress - High disturbance,0.406126316, 
Amaranthus,Amaranthus graecizans,6.208879075,3.447437931,2.15786,0.8481,High stress - High disturbance,0.434018182, 
Anacamptis,Anacamptis pyramidalis,5.190920145,3.290134952,1.73551,0.43512,Low stress - High disturbance,555.1473333,genus imputed
Anacyclus,Anacyclus clavatus,5.704506625,3.104540109,2.13997,0.82655,Low stress - High disturbance,0.5, 
Anagyris,Anagyris foetida,7.193238825,2.307931758,1.46927,0.26889,High stress - Low disturbance,364.3571429, 
Anchusa,Anchusa officinalis,5.202526862,2.991761095,1.85853,0.65558,High stress - High disturbance,4.695555556, 
Androsace,Androsace villosa,1.997856109,3.279710892,1.75279,0.34061,High stress - High disturbance,1.09128, 
Anemonastrum,Anemonastrum narcissiflorum,1.797570382,4.58489429,1.44199,0.30015,High stress - Low disturbance,6.067656705, 
Angelica,Angelica archangelica,3.55528005,6.828557751,1.32338,0.41557,High stress - High disturbance,4.04725, 
Angelica,Angelica sylvestris,3.965172795,6.262448127,1.544625,0.359185,High stress - Low disturbance,2.392087719, 
Antennaria,Antennaria dioica,2.859757384,3.584203969,1.557,0.31546,High stress - Low disturbance,0.052428571, 
Anthemis,Anthemis arvensis,4.702997668,3.604100662,2.00096,0.79659,Low stress - High disturbance,0.64019, 
Anthemis,Anthemis cotula,4.992943885,3.713830477,2.06954,0.78368,Low stress - High disturbance,0.422975, 
Anthoxanthum,Anthoxanthum odoratum,4.070377465,4.636572525,1.78677,0.42508,Low stress - High disturbance,0.532967403, 
Anthriscus,Anthriscus sylvestris,3.77446156,4.560207184,1.54675,0.44668,Low stress - High disturbance,4.106347368, 
Anthyllis,Anthyllis vulneraria,4.128255488,3.147957031,1.73721,0.41387,Low stress - High disturbance,3.271460741, 
Aquilegia,Aquilegia atrata,2.781427442,3.664709852,1.33983,0.21315,High stress - Low disturbance,1.44375, 
Aquilegia,Aquilegia einseleana,2.289612954,4.142758082,0.93839,0.19906,High stress - Low disturbance,0.883, 
Aquilegia,Aquilegia vulgaris,4.38092908,3.999394214,1.29264,0.20301,Low stress - Low disturbance,1.645944444, 
Aquilegia,Aquilegia alpina,1.632646849,4.687371017,1.3446,0.15909,High stress - Low disturbance,1, 
Aquilegia,Aquilegia bertolonii,3.064709204,3.692688935,1.27875,0.2561,Low stress - Low disturbance,1.062774309,genus imputed
Arabidopsis,Arabidopsis thaliana,4.511409803,3.36945812,1.9484,0.68176,Low stress - High disturbance,0.0435464, 
Arabis,Arabis scabra,2.882264163,2.981571267,1.60601,0.45192,High stress - High disturbance,0.2716, 
Arabis,Arabis hirsuta,3.992580515,3.344937821,1.5842,0.3596,Low stress - Low disturbance,0.117234483, 
Arabis,Arabis alpina,2.31902709,4.473245959,1.20913,0.28856,High stress - Low disturbance,0.243333333, 
Arbutus,Arbutus andrachne,7.125711078,2.816773264,1.35919,0.17333,High stress - Low disturbance,83.36666667, 
Arbutus,Arbutus unedo,6.769307865,3.231870818,1.30756,0.17456,High stress - Low disturbance,3.759714286, 
Arctium,Arctium minus,4.01848127,4.307086664,1.48508,0.56623,Low stress - High disturbance,10.0915697, 
Arctium,Arctium lappa,4.544257992,4.624824375,1.49314,0.55537,Low stress - High disturbance,12.54451818, 
Arenaria,Arenaria grandiflora,3.582538327,2.26433048,1.54567,0.34308,High stress - Low disturbance,0.5456, 
Arenaria,Arenaria serpyllifolia,4.224117551,3.104761539,1.949895,0.582705,Low stress - High disturbance,0.06193125, 
Arenaria,Arenaria biflora,0.644627541,6.023248597,1.5818,0.23333,High stress - Low disturbance,0.0872, 
Arenaria,Arenaria purpurascens,2.386936494,4.371502729,1.85176,0.31204,High stress - High disturbance,0.202508073,genus imputed
Armeria,Armeria maritima,3.867301557,4.956465385,1.88653,0.45279,Low stress - High disturbance,1.168655689, 
Arnica,Arnica montana,3.192932604,4.74200181,1.58018,0.33098,Low stress - Low disturbance,1.4155, 
Arrhenatherum,Arrhenatherum elatius,4.281470228,4.343963166,1.79222,0.48335,Low stress - High disturbance,2.6875367, 
Artemisia,Artemisia annua,5.219458713,3.694873116,1.92894,0.77152,Low stress - High disturbance,0.031666667, 
Artemisia,Artemisia vulgaris,4.527805868,4.125344869,1.62781,0.66978,Low stress - High disturbance,0.151371429, 
Artemisia,Artemisia absinthium,4.644007396,3.362772851,1.74094,0.67201,Low stress - High disturbance,0.099504615, 
Artemisia,Artemisia herba-alba,7.793097372,1.188467618,1.76373,0.47105,High stress - High disturbance,0.207671429, 
Artemisia,Artemisia glacialis,0.06303098,2.465766891,1.15742,0.27073,High stress - Low disturbance,0.87432366,genus imputed
Artemisia,Artemisia campestris,4.929362323,2.736172732,1.79012,0.45222,High stress - High disturbance,0.116998415, 
Artemisia,Artemisia maritima,4.700715311,4.321796682,2.174005,0.475745,Low stress - High disturbance,0.695714286, 
Artemisia,Artemisia arborescens,8.377083577,4.051637061,1.45048,0.41887,High stress - High disturbance,0.1294, 
Asparagus,Asparagus officinalis,5.182545995,3.138201425,1.61326,0.42277,Low stress - High disturbance,20.78564167, 
Asparagus,Asparagus acutifolius,6.751061359,1.961799152,1.32248,0.19673,High stress - Low disturbance,37.3, 
Asparagus,Asparagus albus,7.646755371,2.54058716,1.43804,0.35556,High stress - Low disturbance,28.4246, 
Asperula,Asperula arvensis,5.846873787,3.382611226,2.12093,0.82018,Low stress - High disturbance,5.113333333, 
Asphodeline,Asphodeline lutea,6.16194997,2.053357035,1.75715,0.47117,High stress - High disturbance,14.84, 
Aster,Aster amellus,4.374087241,3.384619503,1.58062,0.37999,Low stress - Low disturbance,0.674459821, 
Aster,Aster alpinus,1.69690831,3.894451944,1.63299,0.33634,High stress - Low disturbance,1.12065, 
Astragalus,Astragalus cicer,4.802991494,3.518109474,1.71023,0.56252,Low stress - High disturbance,3.581832107, 
Astragalus,Astragalus glycyphyllos,4.372238753,3.790656154,1.39387,0.22929,Low stress - Low disturbance,4.882635294, 
Astragalus,Astragalus spruneri,6.866836802,1.717945233,1.92842,0.496,High stress - High disturbance,35.2471, 
Astrodaucus,Astrodaucus littoralis,7.468943247,1.498681327,1.77371,0.5525,High stress - High disturbance,6.8222, 
Atocion,Atocion armeria,5.274138621,3.640471015,1.45119,0.33922,Low stress - Low disturbance,0.200911111, 
Atocion,Atocion rupestre,2.04141161,2.713812214,1.39619,0.266,High stress - Low disturbance,0.072885714, 
Atractylis,Atractylis cancellata,7.193238825,1.486993661,1.83425,0.6,High stress - High disturbance,4.7018, 
Atriplex,Atriplex laciniata,4.730911936,4.924514612,1.98519,0.54062,Low stress - High disturbance,21.4416, 
Atriplex,Atriplex littoralis,4.843963571,4.420622973,1.99882,0.61584,Low stress - High disturbance,1.330777778, 
Atriplex,Atriplex portulacoides,5.791733827,6.335982769,1.98212,0.48961,High stress - High disturbance,3.674676923, 
Atriplex,Atriplex prostrata,4.854701786,5.287264574,1.81797,0.61035,Low stress - High disturbance,1.432502857, 
Atriplex,Atriplex patula,4.57563057,4.476429691,1.90779,0.79951,Low stress - High disturbance,1.437164706, 
Atriplex,Atriplex sagittata,5.238282965,4.285213072,1.87269,0.8021,Low stress - High disturbance,2.789875, 
Atriplex,Atriplex glabriuscula,4.206135039,5.629357246,2.01468,0.58471,Low stress - High disturbance,2.60105, 
Atriplex,Atriplex pedunculata,4.489925821,6.230349534,2.28948,0.46528,High stress - High disturbance,1.183230769, 
Aurinia,Aurinia saxatilis,5.714074963,2.411174878,1.13994,0.31197,High stress - Low disturbance,0.8271, 
Avena,Avena fatua,4.914584197,3.734922908,2.03985,0.84527,Low stress - High disturbance,14.945, 
Avena,Avena sterilis,6.285606915,3.118020874,1.8987,0.76998,High stress - High disturbance,36.45142857, 
Avena,Avena barbata,6.191361362,2.706597602,1.73585,0.66182,High stress - High disturbance,8.703607574, 
Avenella,Avenella flexuosa,3.688028624,4.391548419,1.26162,0.19344,Low stress - Low disturbance,0.478340185, 
Avenula,Avenula pubescens,3.943638151,3.781420786,1.98094,0.48225,Low stress - High disturbance,1.790127536, 
Baldellia,Baldellia ranunculoides,4.568955214,8.367927497,1.52254,0.22775,High stress - Low disturbance,0.4624, 
Ballota,Ballota nigra,4.859801038,3.947042495,1.51302,0.61049,Low stress - High disturbance,0.943293333, 
Barbarea,Barbarea vulgaris,4.303749649,5.001297902,1.56243,0.58332,Low stress - High disturbance,0.6235, 
Bartsia,Bartsia alpina,1.797748287,6.222253448,1.18018,0.24173,High stress - Low disturbance,0.257676471, 
Bassia,Bassia scoparia,5.419386465,3.554729717,2.067,0.84194,Low stress - High disturbance,1.019484211, 
Beckmannia,Beckmannia eruciformis,4.542035071,5.869729905,2.11,0.48206,Low stress - High disturbance,0.543142857, 
Bellardia,Bellardia trixago,6.014782868,2.600482651,1.85583,0.65297,High stress - High disturbance,0.03805, 
Bellis,Bellis annua,7.359903831,5.261905029,1.81706,0.48429,High stress - High disturbance,0.0824, 
Bellis,Bellis perennis,4.20716146,4.563397753,2.20989,0.49581,Low stress - High disturbance,0.12085, 
Berteroa,Berteroa incana,4.48547166,2.99162258,1.83487,0.61504,High stress - High disturbance,0.561692308, 
Berula,Berula erecta,4.405480213,8.222354521,1.71904,0.28991,High stress - High disturbance,0.641217713, 
Beta,Beta vulgaris,4.950590878,4.736086196,1.61384,0.62915,Low stress - High disturbance,18.57223881, 
Betonica,Betonica officinalis,4.40898455,4.371980909,1.56593,0.32881,Low stress - Low disturbance,1.871083333, 
Betula,Betula pubescens,3.098163326,6.290787378,1.251515,0.187265,High stress - Low disturbance,0.23230353, 
Betula,Betula nana,1.883444922,7.090385471,1.48434,0.18141,High stress - Low disturbance,0.211228571, 
Bidens,Bidens frondosa,5.078252145,6.751078829,1.59767,0.50786,High stress - High disturbance,3.360807271, 
Bidens,Bidens tripartita,4.362428226,6.70443831,1.75255,0.5793,High stress - High disturbance,2.42198079, 
Bidens,Bidens cernua,4.46790258,7.091488481,1.80242,0.4815,High stress - High disturbance,1.587622895, 
Biscutella,Biscutella laevigata,3.962477999,3.285113219,1.14676,0.3045,Low stress - Low disturbance,3.82591, 
Bistorta,Bistorta officinalis,3.010350467,5.848941538,1.57129,0.44023,Low stress - High disturbance,4.056274248, 
Bistorta,Bistorta vivipara,1.610450385,4.798342497,1.37578,0.26535,High stress - Low disturbance,2.36650942, 
Bituminaria,Bituminaria bituminosa,6.727132845,2.79075551,1.45836,0.37492,High stress - Low disturbance,25.58428571, 
Blackstonia,Blackstonia perfoliata,5.489876508,4.994192195,1.65999,0.43796,Low stress - High disturbance,0.01, 
Bolboschoenus,Bolboschoenus maritimus,4.946011744,7.701023744,1.92028,0.39714,High stress - High disturbance,2.8529, 
Brachypodium,Brachypodium pinnatum,4.175388429,3.590060998,1.436656667,0.31405,Low stress - Low disturbance,2.872043333, 
Brachypodium,Brachypodium sylvaticum,4.384354053,4.674836116,1.43098,0.24269,Low stress - Low disturbance,2.477638095, 
Brachypodium,Brachypodium distachyon,5.95736189,1.669521173,1.65119,0.56671,High stress - High disturbance,3.64180369, 
Brachypodium,Brachypodium phoenicoides,5.952062805,2.923927347,1.47684,0.30571,High stress - Low disturbance,3.0318, 
Brassica,Brassica cretica,6.542531492,2.406304215,1.51428,0.53214,High stress - High disturbance,3.974171429, 
Brassica,Brassica montana,6.622661572,2.341774312,1.3864,0.6325,High stress - High disturbance,3.309931173,genus imputed
Briza,Briza media,3.879340552,4.308958995,1.96549,0.46251,Low stress - High disturbance,0.400737778, 
Briza,Briza maxima,6.529744028,2.685121813,1.62505,0.42994,High stress - High disturbance,3.167157444, 
Briza,Briza minor,6.760011291,4.039832668,1.73917,0.45378,High stress - High disturbance,0.304285714, 
Bromus,Bromus arvensis,4.671865512,3.665761759,1.85522,0.6381,Low stress - High disturbance,2.149686853, 
Bromus,Bromus squarrosus,5.837447899,2.725023124,1.89303,0.54339,High stress - High disturbance,3.18, 
Bromus,Bromus alopecuros,6.557885245,2.626884914,2.00904,0.71515,High stress - High disturbance,2.195, 
Bromus,Bromus scoparius,6.429337948,2.733941044,2.12644,0.66548,High stress - High disturbance,1, 
Bromus,Bromus commutatus,4.794012372,3.754438436,1.98873,0.56778,Low stress - High disturbance,4.631257143, 
Bromus,Bromus hordeaceus,4.634683237,4.104825589,2.13166,0.54271,Low stress - High disturbance,2.442663658, 
Bromus,Bromus japonicus,5.462719431,3.056777611,1.98055,0.61318,Low stress - High disturbance,2.495666667, 
Bromus,Bromus racemosus,4.735102393,5.949865049,2.07358,0.51485,Low stress - High disturbance,5.948290643, 
Bromus,Bromus secalinus,4.455403832,4.239280426,2.12451,0.85888,Low stress - High disturbance,10.4178375, 
Bryonia,Bryonia cretica,7.978387022,3.66453342,1.483425,0.37111,High stress - Low disturbance,13.2411199, 
Bufonia,Bufonia paniculata,6.066387429,2.056336125,1.39664,0.40385,High stress - Low disturbance,NA,not found
Buglossoides,Buglossoides arvensis,4.802375192,3.45900466,2.00689,0.78116,Low stress - High disturbance,5.43967037, 
Bunias,Bunias orientalis,4.52976602,3.949663209,1.71501,0.65608,Low stress - High disturbance,25.4, 
Bunium,Bunium bulbocastanum,5.379153371,3.575080193,1.67125,0.42053,Low stress - High disturbance,1.2475, 
Buphthalmum,Buphthalmum salicifolium,3.726103318,3.750161934,1.30681,0.28172,Low stress - Low disturbance,0.5075, 
Bupleurum,Bupleurum tenuissimum,5.307606757,4.658934016,1.92815,0.44308,Low stress - High disturbance,1.275075, 
Bupleurum,Bupleurum falcatum,4.714579232,2.919106613,1.61873,0.37887,High stress - Low disturbance,2.848507407, 
Bupleurum,Bupleurum fruticosum,6.107604803,2.74922896,1.33363,0.24974,High stress - Low disturbance,4.6808, 
Bupleurum,Bupleurum baldense,6.024083996,2.41246489,1.81995,0.51391,High stress - High disturbance,0.3888, 
Bupleurum,Bupleurum rotundifolium,5.18435501,2.986554095,1.82506,0.75538,High stress - High disturbance,2.896888889, 
Butomus,Butomus umbellatus,4.46882277,8.272373913,1.74103,0.27083,High stress - High disturbance,0.186181818, 
Cakile,Cakile maritima,5.255959518,5.030275933,2.03267,0.5572,Low stress - High disturbance,18.70474783, 
Calamagrostis,Calamagrostis canescens,3.738396927,7.092427791,1.30607,0.24131,High stress - Low disturbance,0.078678571, 
Calamagrostis,Calamagrostis arenaria,5.037434251,3.740204796,1.90055,0.42072,Low stress - High disturbance,3.73783962, 
Calendula,Calendula suffruticosa,6.29906509,1.79419888,2.01547,0.455,High stress - High disturbance,8.5322, 
Calendula,Calendula arvensis,6.186290735,3.056372685,2.00052,0.78765,High stress - High disturbance,4.652857143, 
Calicotome,Calicotome villosa,7.313702728,1.897462709,1.40538,0.29496,High stress - Low disturbance,7.223818182, 
Calla,Calla palustris,3.841657749,7.43532494,1.28045,0.19974,High stress - Low disturbance,2.0523, 
Calluna,Calluna vulgaris,3.572044851,4.55778835,1.4287,0.23973,Low stress - Low disturbance,0.064333636, 
Caltha,Caltha palustris,3.399811996,7.267585771,1.5815,0.40617,High stress - Low disturbance,1.030919353, 
Calystegia,Calystegia soldanella,5.384003471,3.840420739,2.15196,0.42106,Low stress - High disturbance,55.835, 
Calystegia,Calystegia sepium,4.592066645,5.891637568,1.43228,0.44987,Low stress - High disturbance,28.6014, 
Campanula,Campanula pyramidalis,6.101698048,2.466452019,1.27266,0.23235,High stress - Low disturbance,0.108756805,genus imputed
Campanula,Campanula latifolia,3.881113882,5.064907841,1.35026,0.19914,Low stress - Low disturbance,0.344082353, 
Campanula,Campanula sarmatica,2.519674787,3.102055752,1.61678,0.42609,High stress - High disturbance,0.401, 
Campanula,Campanula cochleariifolia,2.324198678,4.904492274,1.1239,0.25645,High stress - Low disturbance,0.0316, 
Campanula,Campanula rapunculus,5.138881216,3.286204244,1.58226,0.36528,Low stress - Low disturbance,0.033428571, 
Campanula,Campanula rotundifolia,3.514691708,3.644372175,1.52516,0.37124,Low stress - Low disturbance,0.059275, 
Campanula,Campanula trachelium,4.264596232,4.70465497,1.31848,0.16139,Low stress - Low disturbance,0.1648, 
Campanula,Campanula rapunculoides,4.195805153,3.853816167,1.42895,0.30042,Low stress - Low disturbance,0.160216667, 
Campanula,Campanula versicolor,6.408090628,1.772268193,0.85232,0.41154,High stress - Low disturbance,0.03, 
Campanula,Campanula glomerata,4.075051915,3.801384829,1.75181,0.42191,Low stress - High disturbance,0.148038095, 
Campanula,Campanula thyrsoides,1.843339122,4.05873208,1.60086,0.29214,High stress - Low disturbance,0.072933333, 
Campanula,Campanula scheuchzeri,1.718665756,4.190577724,1.14505,0.28048,High stress - Low disturbance,0.0861, 
Campanula,Campanula spatulata,7.719215875,2.843595323,1.47686,0.23383,High stress - Low disturbance,0.010933333, 
Campanula,Campanula alpina,1.515225798,4.407410452,1.37075,0.26778,High stress - Low disturbance,0.1944, 
Campanula,Campanula trichocalycina,3.842257258,3.407250747,1.31072,0.10365,Low stress - Low disturbance,0.0134, 
Capparis,Capparis spinosa,7.305390771,2.185965212,0.802695,0.34258,High stress - Low disturbance,7.212514286, 
Cardamine,Cardamine hirsuta,4.756538763,4.438257351,1.51584,0.45571,Low stress - High disturbance,0.109514286, 
Cardamine,Cardamine amara,3.399697804,7.179216348,1.44003,0.35153,High stress - Low disturbance,0.258, 
Cardamine,Cardamine impatiens,4.021941175,5.373073333,1.32585,0.20271,Low stress - Low disturbance,0.191885714, 
Cardamine,Cardamine pratensis,3.814783469,6.004402589,1.621936667,0.322023333,High stress - Low disturbance,0.553035897, 
Carduus,Carduus crispus,4.26942755,4.995405071,1.4453,0.51887,Low stress - High disturbance,1.685127273, 
Carduus,Carduus tenuiflorus,6.248578332,2.409425099,1.91676,0.73312,High stress - High disturbance,3.5068, 
Carduus,Carduus acanthoides,4.385238212,3.237919937,1.78673,0.69501,Low stress - High disturbance,2.758888889, 
Carduus,Carduus nutans,4.268605031,3.092037648,1.85248,0.56807,Low stress - High disturbance,3.45952381, 
Carduus,Carduus defloratus,3.537081571,3.596189548,1.29706,0.29259,Low stress - Low disturbance,2.606, 
Carex,Carex aquatilis,3.406140994,7.176538152,1.52261,0.20816,High stress - Low disturbance,0.413631579, 
Carex,Carex atrata,1.313914474,4.775514569,1.45676,0.26404,High stress - Low disturbance,0.584654545, 
Carex,Carex binervis,4.151720116,5.446537844,1.69588,0.37091,Low stress - High disturbance,1.513471429, 
Carex,Carex buxbaumii,3.630998217,6.95730618,1.77657,0.27907,High stress - High disturbance,1.148923077, 
Carex,Carex canescens,3.348028936,7.145729953,1.31613,0.20762,High stress - Low disturbance,0.3394, 
Carex,Carex capillaris,1.446046977,5.983240745,1.54371,0.25136,High stress - Low disturbance,0.5455, 
Carex,Carex caryophyllea,4.134088053,3.635660051,1.88739,0.44908,Low stress - High disturbance,1.065271429, 
Carex,Carex curvula,0.382791539,3.650838793,1.52663,0.26525,High stress - Low disturbance,2, 
Carex,Carex depauperata,5.219277655,3.662711698,1.31137,0.14405,Low stress - Low disturbance,10.41133333, 
Carex,Carex elongata,3.938946808,7.283282191,1.17777,0.24335,High stress - Low disturbance,0.5902, 
Carex,Carex extensa,4.793061902,6.056580077,2.01049,0.44211,High stress - High disturbance,1.198666667, 
Carex,Carex echinata,3.754478584,6.733435581,1.49708,0.25833,High stress - Low disturbance,0.839188235, 
Carex,Carex flava,3.64670713,6.943760381,1.79768,0.34557,High stress - High disturbance,0.981375, 
Carex,Carex hirta,4.334193448,5.263603758,1.89665,0.49368,Low stress - High disturbance,2.701625, 
Carex,Carex hostiana,3.924195172,7.142506253,1.93181,0.2955,High stress - High disturbance,1.387123529, 
Carex,Carex flacca,4.250081138,5.056118567,1.60091,0.34432,Low stress - Low disturbance,0.928331579, 
Carex,Carex limosa,2.999913656,7.547791086,1.40127,0.1298,High stress - Low disturbance,1.556985714, 
Carex,Carex magellanica,2.117621012,7.186777301,1.32986,0.12091,High stress - Low disturbance,1.35565, 
Carex,Carex disticha,4.128974358,7.176153156,1.89671,0.44481,High stress - High disturbance,0.841046154, 
Carex,Carex lachenalii,0.948727556,5.840754882,1.57643,0.2548,High stress - Low disturbance,0.337942857, 
Carex,Carex muricata,4.101179827,4.468581211,1.43767,0.2631,Low stress - Low disturbance,1.636242174, 
Carex,Carex myosuroides,1.165006187,3.51219246,1.62249,0.26786,High stress - Low disturbance,1.324572,genus imputed
Carex,Carex nigra,3.413729845,6.600735695,1.63101,0.35439,High stress - Low disturbance,1.565576471, 
Carex,Carex pallescens,3.519975464,4.996051485,1.788,0.42415,Low stress - High disturbance,1.01465, 
Carex,Carex panicea,3.718856345,6.291691545,1.81747,0.37934,High stress - High disturbance,2.381569231, 
Carex,Carex paniculata,4.082781554,7.332109283,1.40858,0.27943,High stress - Low disturbance,0.791644444, 
Carex,Carex pendula,4.285557326,6.299804869,1.39139,0.28167,High stress - Low disturbance,0.67332, 
Carex,Carex pseudocyperus,4.527865452,7.625995779,1.37179,0.22409,High stress - Low disturbance,0.940623529, 
Carex,Carex pulicaris,3.353238735,6.831417973,1.847,0.3546,High stress - High disturbance,1.5367375, 
Carex,Carex punctata,5.270961853,6.042120846,1.60044,0.39831,High stress - Low disturbance,1.213942857, 
